Nom,Genre,Épisodes,Date de Diffusion,Score,Rank,Téléspectateurs,Acteurs,Date Debut,Date Fin
"Lost You, Found You (2024)","Romance, Wuxia",20.0,"Jul 22, 2024 - Aug 3, 2024",7.5,6525.0,"2,197","Dai Gao Zheng, Tu Zhi Ying, Chris Zhu, Yan Rui Hao, Liu Xi Yu","Jul 22, 2024","Aug 3, 2024"
Lovesickness (2024),"Historical, Romance",24.0,"May 8, 2024",7.4,6572.0,"1,372","Yu Yi Lei, Yan Zi Xian, Wang Zi Fei, Zhao Wen Long, Deng You, Zheng Chu Chen","May 8, 2024",
Fry Me to the Moon (2024),"Food, Romance, Life, Drama",24.0,"Mar 29, 2024 - Apr 9, 2024",7.4,6636.0,984,"Song Yi, Charmaine Sheh, Li Chun, Zhang Guo Li, Zhang Chao, Wang Ren Jun","Mar 29, 2024","Apr 9, 2024"
The Substitute Princess's Love (2024),"Historical, Mystery, Romance",24.0,"Apr 26, 2024 - May 2, 2024",7.4,6852.0,"3,134","Dylan Kuo, Zhang Miao Yi, Jesse Ren, Liu Zhi Wei, Liu Shu Yuan, Wu Yi Jia","Apr 26, 2024","May 2, 2024"
Our Interpreter (2024),"Business, Romance, Life, Drama",36.0,"Jan 8, 2024 - Jan 25, 2024",7.4,6781.0,"6,667","Victoria Song, Chen Xing Xu, Fei Qi Ming, Wang Sen, Lin Zi Lu, Yu Sha Sha","Jan 8, 2024","Jan 25, 2024"
Love in the Tea Garden (2024),"Comedy, Romance, Life",24.0,"May 28, 2024 - Jun 6, 2024",7.4,6733.0,"2,030","Qi Yan Di, Eric Hsiao, Tan Jia Tai, Fang Si Chang, Gao Kai, Zhu Hai Jun","May 28, 2024","Jun 6, 2024"
The Dangerous Lover (2024),"Historical, Romance, Fantasy",26.0,"Mar 30, 2024 - Apr 15, 2024",7.4,6718.0,"1,916","Zhao Jia Min, Hei Ze, Yang Teng, Zhang Zi Jian, Liu Bei Shi, Zhou Pei Chen","Mar 30, 2024","Apr 15, 2024"
Enslaved by Love (2024),"Historical, Romance",24.0,"Jun 13, 2024 - Jun 29, 2024",7.4,7009.0,"2,815","Zizi Xu, Cheng Yu Feng, Teng Ze Wen, Tian Guang Yu, Lin Shi Han, Ye Xiao Qiu","Jun 13, 2024","Jun 29, 2024"
The Night Is Still Young (2024),"Historical, Romance",30.0,"Dec 6, 2024 - Dec 10, 2024",7.4,6707.0,"1,106","Zhang He, Vicky Liang, Wang Jun Hao, Deng Zhi Hao, Cheung Hoi Yuet, Yang Qiao Yu","Dec 6, 2024","Dec 10, 2024"
Life after Life (2024),"Historical, Romance, Fantasy",25.0,"May 24, 2024 - Jun 10, 2024",7.4,6868.0,"1,046","Li Zi Xuan, Zhang He, Xia Zhi Yuan, Xie Xin, Frankie Guo, Ning Xian Zhou","May 24, 2024","Jun 10, 2024"
Fall in Love with a Fox (2024),"Comedy, Romance, Wuxia",29.0,"Sep 20, 2024 - Oct 3, 2024",7.4,7172.0,"2,046","Wanyan Luo Rong, Xu Hao, Liu Yu Han, Ma Hao Dong, Eve Lu, Yang Shi Qian","Sep 20, 2024","Oct 3, 2024"
